"Departement";"Code";"Dienstabteilung";"Konto";"Bezeichnung";"Rechnung 2011 Fr.";"Budget 2012 Fr.";"Budget 2013 Fr.";"Abweichung zum Vorjahr Fr.";"Bezeichnung (sofern gemäss Art. 4 FVO erforderlich)"
"Finanzdepartement";2050;"Human Resources Management";"3030 0000";"Sozialversicherungsbeiträge";"820’942.45";"879’200";"900’100";"-20’900";
"Finanzdepartement";2050;"Human Resources Management";"3040 0000";"Personalversicherungsbeiträge";"1’138’267.70";"1’321’300";"1’383’200";"-61’900";
"Finanzdepartement";2050;"Human Resources Management";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"24’109.85";"24’200";"24’700";-500;
"Finanzdepartement";2050;"Human Resources Management";"3060 0000";"Dienstkleider und Dienstkleiderentschädigungen";;;500;-500;
"Finanzdepartement";2050;"Human Resources Management";"3062 0000";"Verpflegungszulagen";"67’600.00";"164’700";"159’600";"+5’100";
"Finanzdepartement";2050;"Human Resources Management";"3091 0000";"Aus- und Weiterbildung des Personals";"1’329’184.78";"2’146’800";"1’833’000";"+313’800";"Aufwandsreduktion im stadtweiten Aus- und Weiterbildungsangebot sowie für das HRZ interne Personal."
"Finanzdepartement";2050;"Human Resources Management";"3092 0000";"Personalwerbung";"131’530.30";"137’600";"137’600";;
"Finanzdepartement";2050;"Human Resources Management";"3096 0000";"Verbilligungen für das Personal";;"13’200";"13’400";-200;
"Finanzdepartement";2050;"Human Resources Management";"3099 0000";"Übriger Personalaufwand";"88’163.25";"165’600";"92’500";"+73’100";"Weniger Aufwand für HRZ Anlässe sowie Kostenverschiebung im Zusammenhang mit den DC-Konferenzen, welche neu in der Institution 1020 Stadtkanzlei geplant werden."
"Finanzdepartement";2050;"Human Resources Management";"3100 0000";"Büromaterial";"2’766.25";"9’500";"6’000";"+3’500";
"Finanzdepartement";2050;"Human Resources Management";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"189’995.45";"437’800";"397’500";"+40’300";
"Finanzdepartement";2050;"Human Resources Management";"3102 0000";"Fachliteratur und Zeitschriften";"13’366.97";"32’900";"15’500";"+17’400";"Reduktion des Angebots an Zeitschriften und Fachliteratur."
"Finanzdepartement";2050;"Human Resources Management";"3106 0000";"Amtliche Publikationen";;"1’500";"1’500";;
"Finanzdepartement";2050;"Human Resources Management";"3110 0000";"Anschaffungen Büromaschinen und -geräte";;"4’000";"3’000";"+1’000";
"Finanzdepartement";2050;"Human Resources Management";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";"1’043.80";"1’000";;"+1’000";
"Finanzdepartement";2050;"Human Resources Management";"3112 0000";"Anschaffungen IT-Anlagen Hardware";49.95;;"5’000";"-5’000";
"Finanzdepartement";2050;"Human Resources Management";"3113 0000";"Anschaffungen IT-Anlagen Software";203.65;"15’000";"15’000";;
"Finanzdepartement";2050;"Human Resources Management";"3114 0000";"Anschaffungen Kleider, Wäsche und Vorhänge";93;;;;
"Finanzdepartement";2050;"Human Resources Management";"3119 0000";"Anschaffungen übrige Mobilien";"1’279.70";"1’000";"3’000";"-2’000";
"Finanzdepartement";2050;"Human Resources Management";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";"2’521.60";"9’500";"8’700";800;
"Finanzdepartement";2050;"Human Resources Management";"3132 0000";"IT-Verbrauchsmaterialien";"2’559.80";"4’000";"4’000";;
"Finanzdepartement";2050;"Human Resources Management";"3143 0000";"Unterhalt und Reinigung der gemieteten Liegenschaften";252.7;;;;
"Finanzdepartement";2050;"Human Resources Management";"3150 0000";"Unterhalt Büromaschinen und -geräte";367.2;"4’200";"4’200";;
"Finanzdepartement";2050;"Human Resources Management";"3151 0000";"Unterhalt Maschinen, Geräte, Fahrzeuge";"7’594.30";"7’600";"7’600";;
"Finanzdepartement";2050;"Human Resources Management";"3152 0000";"Unterhalt IT-Anlagen Hardware";"2’119.64";;;;
"Finanzdepartement";2050;"Human Resources Management";"3153 0000";"Unterhalt IT-Anlagen Software";"8’720.30";"29’000";"43’000";"-14’000";"Neuer zentraler Einkauf von Lizenzen für stadtweites Online-Testverfahren."
"Finanzdepartement";2050;"Human Resources Management";"3160 0000";"Miete und Pacht von Liegenschaften";;;"8’000";"-8’000";"Mittel für die Miete von städtischen Räumlichkeiten für die HR Konferenzen."
"Finanzdepartement";2050;"Human Resources Management";"3161 0000";"Mieten und Benutzungskosten";;"21’500";"25’000";"-3’500";
"Finanzdepartement";2050;"Human Resources Management";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"61’754.30";"86’900";"99’900";"-13’000";
"Finanzdepartement";2050;"Human Resources Management";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"109’496.35";"168’000";"125’000";"+43’000";
"Finanzdepartement";2050;"Human Resources Management";"3181 0000";"Post- und Telekommunikationsgebühren";"242’691.20";"257’500";"332’500";"-75’000";"Versandkosten im Zusammenhang mit der auf Anfang 2013 verschobenen Mitarbeitendenbefragung."
"Finanzdepartement";2050;"Human Resources Management";"3183 0000";"Bankspesen";87.25;200;200;;
"Finanzdepartement";2050;"Human Resources Management";"3184 0000";"Sachversicherungsprämien";;"4’000";"4’000";;
"Finanzdepartement";2050;"Human Resources Management";"3186 0000";"Entschädigungen für Dienstleistungen Dritter im Zusammenhang mit Projektbegleitung, -beratung und Organisationsentwicklung";"191’595.80";"720’000";"668’000";"+52’000";
"Finanzdepartement";2050;"Human Resources Management";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"693’134.00";"585’600";"805’500";"-219’900";"Mehraufwand durch das geplante Projekt SAP Redesign. Zudem muss HRZ vermehrt Anpassungen am System HCM von externen Firmen direkt übernehmen."
"Finanzdepartement";2050;"Human Resources Management";"3190 0000";"Schadenersatzleistungen";"6’463.15";;;;
"Finanzdepartement";2050;"Human Resources Management";"3197 0000";"Mitgliederbeiträge";"11’005.00";"14’600";"19’000";"-4’400";
"Finanzdepartement";2050;"Human Resources Management";"3199 0000";"Übriger Sachaufwand";"1’686.66";"2’200";"2’200";;
"Finanzdepartement";2050;"Human Resources Management";"3300 0000";"Abschreibungen von Guthaben des FV";"316’122.20";;;;
"Finanzdepartement";2050;"Human Resources Management";"3310 0000";"Ordentliche Abschreibungen auf Investitionen und Sachgütern des VV";"24’576.00";"19’700";"15’700";"+4’000";
"Finanzdepartement";2050;"Human Resources Management";"3650 0120";"Beitrag an Verein Zürcher Gemeindeschreiber und Verwaltungsfachleute VZGV";;;"40’000";"-40’000";"Ab 2012 wird der Beitrag für den Verein Zürcher Gemeindeschreiber und Fachleute (VZGV) einmal jährlich und zentral für die Stadtverwaltung bei HRZ belastet."
"Finanzdepartement";2050;"Human Resources Management";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"1’826’306.50";"2’378’800";"3’196’600";"-817’800";"Mehraufwand hauptsächlich für das geplante Projekt SAP Redesign."
"Finanzdepartement";2050;"Human Resources Management";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"285’926.30";"237’200";"258’700";"-21’500";
"Finanzdepartement";2050;"Human Resources Management";"3913 0000";"Vergütung an IMMO für Raumkosten";"1’851’620.00";"1’858’900";"1’845’100";"+13’800";
"Finanzdepartement";2050;"Human Resources Management";"3914 0000";"Vergütung an IMMO für Verwaltungsparkplätze";"4’200.00";"4’200";"4’200";;
"Finanzdepartement";2050;"Human Resources Management";"3915 0000";"Vergütung an IMMO für Dienstfahrzeuge";;200;200;;
"Finanzdepartement";2050;"Human Resources Management";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"469’737.00";"469’700";"469’700";;
"Finanzdepartement";2050;"Human Resources Management";"4272 0000";"Vergütungen für Benutzungen";"-117’150.00";"-95’000";"-60’000";"-35’000";"Erwarteter Minderertrag im Zusammenhang mit dem Umbau des Pavillon Werd für die Jahre 2013 bis 2014."
"Finanzdepartement";2050;"Human Resources Management";"4340 0107";"Dienstleistungen für Dritte";"-611’377.93";"-620’000";"-620’000";;
"Finanzdepartement";2050;"Human Resources Management";"4350 0000";"Verkäufe";-127.25;;;;
"Finanzdepartement";2050;"Human Resources Management";"4360 0000";"Rückerstattungen Dritter";"-8’063.02";"-25’600";"-19’600";"-6’000";
"Finanzdepartement";2050;"Human Resources Management";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-163’104.58";"-78’000";"-131’200";"+53’200";"Anpassung des Budgets an die in den letzten Jahren erhaltenen Rückerstattungen."
"Finanzdepartement";2050;"Human Resources Management";"4367 0000";"Rückerstattungen von Personalaufwendungen";"-361’807.65";"-419’000";"-375’000";"-44’000";
"Finanzdepartement";2050;"Human Resources Management";"4399 0000";"Übrige Entgelte";"-3’144.22";-200;"-2’000";"+1’800";
"Finanzdepartement";2050;"Human Resources Management";"4900 0000";"Vergütung für Aus- und Weiterbildung";"-861’915.00";"-1’501’000";"-1’493’200";"-7’800";
"Finanzdepartement";2050;"Human Resources Management";"4982 0000";"Vergütung für Verwaltungskosten";"-829’485.00";"-829’600";"-829’600";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";;"Aufwand";"4’756’141.20";"5’251’900";"4’693’500";"+558’400";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";;"Ertrag";"-404’857.55";"-44’200";"-44’200";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"4’351’283.65";"5’207’700";"+4’649’300";"+558’400";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"2’184’748.90";"1’059’800";"1’663’000";"-603’200";"Mehraufwand durch Übertrag von 6 Soll-Stellenwerten für Case Managerinnen und Case Manager aus dem GUD wegen zentraler Abwicklung. Weiter wurden 1.5 Stellenwerte an HRZ übertragen."
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3011 0000";"Löhne der Teilnehmenden an Einsatzprogrammen";"1’657’971.10";"3’070’000";"2’000’000";"+1’070’000";"Im Zusammenhang mit der verlängerten Lohnfortzahlung im Krankheitsfall (bis zu zwei Jahre) werden weniger Übertritte Mitarbeitender aus Dienstabteilungen ins Case Management für Reintegrations- bzw. Sozialstellen erwartet."
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3030 0000";"Sozialversicherungsbeiträge";"266’928.50";"307’500";"273’000";"+34’500";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3040 0000";"Personalversicherungsbeiträge";"420’272.10";"501’400";"404’100";"+97’300";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"15’620.75";"9’400";"7’500";"+1’900";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3062 0000";"Verpflegungszulagen";"9’400.00";"32’400";"40’800";"-8’400";"siehe Begründung auf Konto 3010 0000."
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3091 0000";"Aus- und Weiterbildung des Personals";"41’495.30";"32’000";"35’000";"-3’000";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3096 0000";"Verbilligungen für das Personal";;"2’400";"3’000";-600;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3099 0000";"Übriger Personalaufwand";"14’971.35";"25’000";"25’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";336.9;"2’000";"2’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3102 0000";"Fachliteratur und Zeitschriften";352.8;500;"2’000";"-1’500";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";142.55;;;;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3161 0000";"Mieten und Benutzungskosten";;"2’000";"2’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"21’289.35";"20’000";"22’000";"-2’000";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"3’445.20";;;;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3181 0000";"Post- und Telekommunikationsgebühren";;"2’000";"2’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3186 0000";"Entschädigungen für Dienstleistungen Dritter im Zusammenhang mit Projektbegleitung, -beratung und Organisationsentwicklung";"11’680.75";"20’000";"20’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"9’234.00";"10’000";"10’000";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3197 0000";"Mitgliederbeiträge";"2’910.00";"10’700";"4’000";"+6’700";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"15’734.00";"24’900";"37’900";"-13’000";"siehe Begründung auf Konto 3010 0000."
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"4’693.65";"5’000";"7’000";"-2’000";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"3913 0000";"Vergütung an IMMO für Raumkosten";"74’914.00";"114’900";"133’200";"-18’300";
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"4360 0000";"Rückerstattungen Dritter";-52;;;;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-404’305.55";"-44’200";"-44’200";;
"Finanzdepartement";2051;"Stadtweites Case Management am Arbeitsplatz";"4367 0000";"Rückerstattungen von Personalaufwendungen";-500;;;;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";;"Aufwand";"773’046.20";"712’700";"1’784’600";"-1’071’900";
"Finanzdepartement";2052;"Optimaler Berufseinstieg";;"Ertrag";"-5’034.00";;;;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"768’012.20";"712’700";"+1’784’600";"-1’071’900";
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"701’088.75";"630’300";"1’595’000";"-964’700";"Das Projekt wurde per Sommer 2011 gestoppt und die Weiterführung ab Sommer 2012 beschlossen. Somit fallen für 2012 die Kosten erst ab August an und im 2013 für das ganze Jahr."
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3030 0000";"Sozialversicherungsbeiträge";"52’054.65";"47’100";"119’100";"-72’000";
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3040 0000";"Personalversicherungsbeiträge";"12’170.95";"14’200";"27’900";"-13’700";
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"1’608.60";"1’300";"3’400";"-2’100";
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3062 0000";"Verpflegungszulagen";600;"7’200";"19’200";"-12’000";"siehe Begründung auf Konto 3010 0000."
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3091 0000";"Aus- und Weiterbildung des Personals";"4’998.00";"5’600";"12’000";"-6’400";"siehe Begründung auf Konto 3010 0000."
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3096 0000";"Verbilligungen für das Personal";;500;"1’000";-500;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3099 0000";"Übriger Personalaufwand";;500;"1’000";-500;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";;"3’000";"3’000";;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3170 0000";"Reise- und Spesenentschädigungen des Personals";525.25;"1’000";"1’000";;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"3910 0000";"Vergütung an OIZ für IT-Leistungen";;"2’000";"2’000";;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"4360 0000";"Rückerstattungen Dritter";-470;;;;
"Finanzdepartement";2052;"Optimaler Berufseinstieg";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-4’564.00";;;;
"Finanzdepartement";2053;"Lohnnachzahlungen";;"Aufwand";;;;;
"Finanzdepartement";2053;"Lohnnachzahlungen";;"Ertrag";"-2’569’190.00";;;;
"Finanzdepartement";2053;"Lohnnachzahlungen";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"-2’569’190.00";;;;
"Finanzdepartement";2053;"Lohnnachzahlungen";"4367 0000";"Rückerstattungen von Personalaufwendungen";"-2’569’190.00";;;;
"Finanzdepartement";2080;"Organisation und Informatik";;"Aufwand";"130’455’536.97";"170’090’900";"173’336’100";"-3’245’200";
"Finanzdepartement";2080;"Organisation und Informatik";;"Ertrag";"-56’619’104.32";"-70’708’500";"-72’308’900";"+1’600’400";
"Finanzdepartement";2080;"Organisation und Informatik";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"73’836’432.65";"99’382’400";"+101’027’200";"-1’644’800";
"Finanzdepartement";2080;"Organisation und Informatik";;"Ausgaben";"31’383’804.09";"41’321’800";"40’655’000";"+666’800";
"Finanzdepartement";2080;"Organisation und Informatik";;"Einnahmen";;;;;
"Finanzdepartement";2080;"Organisation und Informatik";;"Nettoinvestition";"31’383’804.09";"41’321’800";"40’655’000";"+666’800";
"Finanzdepartement";2080;"Organisation und Informatik";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"39’448’801.75";"42’968’100";"43’226’400";"-258’300";"Zusätzliche Stellen im Bereich eGOV zur Bearbeitung der laufenden Projekte."
"Finanzdepartement";2080;"Organisation und Informatik";"3012 0000";"Löhne des Personals in Ausbildung";"453’632.45";"418’600";"319’500";"+99’100";
"Finanzdepartement";2080;"Organisation und Informatik";"3030 0000";"Sozialversicherungsbeiträge";"2’907’869.75";"3’189’200";"3’196’500";"-7’300";
"Finanzdepartement";2080;"Organisation und Informatik";"3040 0000";"Personalversicherungsbeiträge";"3’813’671.15";"4’884’800";"5’032’300";"-147’500";
"Finanzdepartement";2080;"Organisation und Informatik";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"83’222.10";"88’000";"87’400";600;
"Finanzdepartement";2080;"Organisation und Informatik";"3062 0000";"Verpflegungszulagen";"188’100.00";"400’000";"410’000";"-10’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3080 0000";"Entschädigungen für temporäre Arbeitskräfte";"16’419.80";"200’000";"200’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3091 0000";"Aus- und Weiterbildung des Personals";"746’936.54";"1’095’500";"891’000";"+204’500";"Die hohe Mitarbeiterbelastung im Rahmen des Umzugs der Rechenzentren lässt im 1. Quartal 2013 weniger Ausbildungen zu."
"Finanzdepartement";2080;"Organisation und Informatik";"3092 0000";"Personalwerbung";"430’244.56";"402’000";"402’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3096 0000";"Verbilligungen für das Personal";;"35’000";"30’000";"+5’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3099 0000";"Übriger Personalaufwand";"89’951.18";"205’200";"206’000";-800;
"Finanzdepartement";2080;"Organisation und Informatik";"3100 0000";"Büromaterial";"2’430.55";"4’000";"5’000";"-1’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"133’628.25";"340’500";"311’500";"+29’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3102 0000";"Fachliteratur und Zeitschriften";"33’815.79";"104’100";"103’500";600;
"Finanzdepartement";2080;"Organisation und Informatik";"3106 0000";"Amtliche Publikationen";"15’772.65";"10’000";"10’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3110 0000";"Anschaffungen Büromaschinen und -geräte";"2’117.90";"2’000";"2’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";"2’589.80";"30’000";"230’000";"-200’000";"Ersatzbeschaffung von 5 Fahrzeugen, die sich am Ende des Lebenszyklus befinden. Die Anschaffung wurde bereits ein Jahr hinausgezögert."
"Finanzdepartement";2080;"Organisation und Informatik";"3112 0101";"Anschaffungen IT-Anlagen Hardware OIZ";"550’710.27";"1’560’500";"766’400";"+794’100";"Im Jahr 2012 höhere Kosten durch den Bau der neuen Rechenzentren."
"Finanzdepartement";2080;"Organisation und Informatik";"3112 0102";"Anschaffungen IT-Anlagen Hardware Dienstabteilungen";"724’988.23";"880’000";"880’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3113 0201";"Anschaffungen IT-Anlagen Software OIZ";"4’247’710.87";"7’366’700";"7’360’800";"+5’900";
"Finanzdepartement";2080;"Organisation und Informatik";"3113 0202";"Anschaffungen IT-Anlagen Software Dienstabteilungen";"660’632.28";"970’000";"965’000";"+5’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3119 0000";"Anschaffungen übrige Mobilien";"11’049.20";"111’000";"396’000";"-285’000";"Ausrüstung Operation Control Raum im RZ Albis."
"Finanzdepartement";2080;"Organisation und Informatik";"3120 0000";"Wasser, Energie und Heizmaterialien";"834’922.65";"1’478’000";"2’200’000";"-722’000";"Parallelbetrieb der alten und neuen Rechenzentren (Übergang)."
"Finanzdepartement";2080;"Organisation und Informatik";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";"28’146.15";"58’600";"41’000";"+17’600";
"Finanzdepartement";2080;"Organisation und Informatik";"3132 0000";"IT-Verbrauchsmaterialien";"1’415.35";"20’000";"20’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3143 0000";"Unterhalt und Reinigung der gemieteten Liegenschaften";"148’125.60";"173’600";"120’000";"+53’600";"Reinigungsaufwand für das neue Rechenzentrum Albis ist im Mietvertrag inbegriffen. Reinigung für das Rechenzentrum Pfingstweidstrasse entfällt für 9 Monate."
"Finanzdepartement";2080;"Organisation und Informatik";"3151 0000";"Unterhalt Maschinen, Geräte, Fahrzeuge";"37’935.28";"30’800";"638’000";"-607’200";"Wartung und Unterhalt der technischen Infrastruktur (Überwachungsbildschirme, Telefonanlagen, Klimageräte, Gebäudeleitsystem/Siemens) der neuen Rechenzentren."
"Finanzdepartement";2080;"Organisation und Informatik";"3152 0000";"Unterhalt IT-Anlagen Hardware";"4’303’505.06";"5’442’300";"5’432’800";"+9’500";
"Finanzdepartement";2080;"Organisation und Informatik";"3153 0000";"Unterhalt IT-Anlagen Software";"10’671’426.65";"16’079’000";"16’098’300";"-19’300";
"Finanzdepartement";2080;"Organisation und Informatik";"3160 0000";"Miete und Pacht von Liegenschaften";"84’925.15";"1’850’000";"1’564’000";"+286’000";"Miete für Backup-Rechenzentrum entfällt."
"Finanzdepartement";2080;"Organisation und Informatik";"3161 0000";"Mieten und Benutzungskosten";;;"100’000";"-100’000";"Multifunktionsdrucker werden nicht mehr durch SBMV, sondern durch Drittanbieter zur Verfügung gestellt."
"Finanzdepartement";2080;"Organisation und Informatik";"3162 0000";"IT-Mieten und Benutzungskosten";"2’062’865.89";"2’068’900";"3’312’500";"-1’243’600";"Höhere Kosten für Mietleitungen durch Neuanschlüsse und neue Rechenzentren."
"Finanzdepartement";2080;"Organisation und Informatik";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"177’880.50";"346’000";"342’000";"+4’000";
"Finanzdepartement";2080;"Organisation und Informatik";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"3’071’529.86";"4’629’000";"4’650’600";"-21’600";
"Finanzdepartement";2080;"Organisation und Informatik";"3181 0000";"Post- und Telekommunikationsgebühren";"6’047’561.06";"6’919’400";"6’706’500";"+212’900";"Rückläufige Unterhalts- und Festnetzkosten."
"Finanzdepartement";2080;"Organisation und Informatik";"3183 0000";"Bankspesen";68.08;;;;
"Finanzdepartement";2080;"Organisation und Informatik";"3184 0000";"Sachversicherungsprämien";"18’499.10";"15’500";"26’000";"-10’500";"Neue Haftpflichtversicherung der neuen Rechenzentren"
"Finanzdepartement";2080;"Organisation und Informatik";"3186 0000";"Entschädigungen für Dienstleistungen Dritter im Zusammenhang mit Projektbegleitung, -beratung und Organisationsentwicklung";"2’424’015.02";"3’470’500";"3’038’000";"+432’500";"Reduktion gemäss Projektplan der neuen Rechenzentren (Abschluss im 2013)."
"Finanzdepartement";2080;"Organisation und Informatik";"3187 0000";"Steuern und Abgaben";"38’465.45";"15’300";"40’000";"-24’700";"Vom Geschäftsgang abhängig."
"Finanzdepartement";2080;"Organisation und Informatik";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"18’655’983.63";"26’455’100";"22’976’200";"+3’478’900";"Siehe Konto 3186 0000."
"Finanzdepartement";2080;"Organisation und Informatik";"3197 0000";"Mitgliederbeiträge";"15’610.50";"7’400";"17’100";"-9’700";"Mitgliedschaften in Sicherheits- und IT-Vereinigungen."
"Finanzdepartement";2080;"Organisation und Informatik";"3199 0000";"Übriger Sachaufwand";"3’194.88";"54’500";"24’500";"+30’000";"Vom Geschäftsgang abhängig."
"Finanzdepartement";2080;"Organisation und Informatik";"3310 0000";"Ordentliche Abschreibungen auf Investitionen und Sachgütern des VV";"22’733’045.09";"28’789’900";"33’494’600";"-4’704’700";"Entsprechend den Nettoinvestitionen 2013 und den Restbuchwerten der Vorjahre."
"Finanzdepartement";2080;"Organisation und Informatik";"3900 0000";"Vergütung an HRZ für Aus- und Weiterbildung";"13’875.00";;;;
"Finanzdepartement";2080;"Organisation und Informatik";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"154’603.15";"180’000";"90’000";"+90’000";"siehe Konto 3161 0000."
"Finanzdepartement";2080;"Organisation und Informatik";"3912 0000";"Vergütung an RVZ für Versicherungsprämien";"89’059.60";"89’200";"99’500";"-10’300";
"Finanzdepartement";2080;"Organisation und Informatik";"3913 0000";"Vergütung an IMMO für Raumkosten";"3’264’696.00";"5’536’200";"6’158’800";"-622’600";"Parallelbetrieb der alten und neuen Rechenzentren (Übergang)."
"Finanzdepartement";2080;"Organisation und Informatik";"3914 0000";"Vergütung an IMMO für Verwaltungsparkplätze";"74’800.20";"74’800";"71’100";"+3’700";
"Finanzdepartement";2080;"Organisation und Informatik";"3915 0000";"Vergütung an IMMO für Dienstfahrzeuge";400;;;;
"Finanzdepartement";2080;"Organisation und Informatik";"3980 0683";"Vergütung an IMMO für Dienstleistungen der Telefonzentralen";"600’000.00";"700’000";"700’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"3982 0000";"Vergütung für Verwaltungskosten";"37’700.00";"44’700";"46’300";"-1’600";
"Finanzdepartement";2080;"Organisation und Informatik";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"296’987.00";"297’000";"297’000";;
"Finanzdepartement";2080;"Organisation und Informatik";"4273 0000";"Vergütung für Benutzung von Verwaltungsparkplätzen";"-32’527.75";;;;
"Finanzdepartement";2080;"Organisation und Informatik";"4340 0101";"Entgelte für ausgeführte Arbeitsaufträge: Intern";"-1’649’407.00";;;;
"Finanzdepartement";2080;"Organisation und Informatik";"4340 0201";"Entgelte für ausgeführte Arbeitsaufträge: Extern";"-2’076’297.00";"-2’812’000";"-2’900’000";"+88’000";
